Vendedor;Treinamento;Data;Cliente;Valor;Alunos;Instrutor;Conteúdo;Período;Total;Estado ;Avaliação Instrutor
Myslaine;Outlook VBA;04/06/2016;Pessoa Jurídica;980;9;Fernando;Regular;Quinta-feira;8.820,00;São Paulo;5
Katia;PowerPoint;04/06/2016;Pessoa Física;1020;8;Ana;Personalizado;Sexta-feira;8.160,00;São Paulo;2
Vanessa;PowerPoint VBA;04/06/2016;Pessoa Física;1340;11;Paulo;Regular;Personalizado;14.740,00;São Paulo;3
Renata;Access;06/06/2016;Pessoa Física;1870;11;Sandra;Regular;Manhã;20.570,00;São Paulo;4
Rodrigo;Windows;06/06/2016;Pessoa Jurídica;1910;9;Sandra;Regular;Tarde;17.190,00;São Paulo;5
Priscila;Excel Básico;06/06/2016;Pessoa Jurídica;2240;9;Humberto;Personalizado;Noite;20.160,00;São Paulo;4
Mirian;Excel Intermediário;06/06/2016;Pessoa Jurídica;2479;8;Henrique;Regular;Integral;19.832,00;São Paulo;3
Murilo;Excel Avançado;08/06/2016;Pessoa Física;3200;12;Douglas;Regular;Madrugada;38.400,00;São Paulo;4
Roberto;Excel Dashboards;08/06/2016;Pessoa Jurídica;3921;10;Jane;Regular;Sábado;39.210,00;São Paulo;3
Myslaine;Excel VBA iniciante;08/06/2016;Pessoa Física;780;10;Caio ;Personalizado;Domingo;7.800,00;São Paulo;4
Katia;Excel VBA avançado;08/06/2016;Pessoa Física;980;9;Fernando;Regular;Personalizado;8.820,00;São Paulo;5
Vanessa;Access VBA;10/06/2016;Pessoa Física;1020;11;Roberto;Regular;Manhã;11.220,00;São Paulo;2
Renata;Word VBA;10/06/2016;Pessoa Jurídica;1340;9;Rosana;Regular;Tarde;12.060,00;São Paulo;2
Rodrigo;Outlook;10/06/2016;Pessoa Jurídica;1870;11;Sandra;Personalizado;Noite;20.570,00;São Paulo;3
Priscila;Outlook VBA;10/06/2016;Pessoa Jurídica;1910;10;Sérgio;Regular;Integral;19.100,00;São Paulo;3
Mirian;PowerPoint;12/06/2016;Pessoa Física;2240;8;Manuel;Regular;Madrugada;17.920,00;São Paulo;2
Murilo;PowerPoint VBA;12/06/2016;Pessoa Jurídica;2479;10;Joaquim;Regular;Segunda-feira;24.790,00;São Paulo;5
Roberto;Access;12/06/2016;Pessoa Física;3200;11;Paulo;Personalizado;Terça-feira;35.200,00;São Paulo;3
Myslaine;Windows;12/06/2016;Pessoa Física;3921;10;Leandro;Regular;Personalizado;39.210,00;São Paulo;3
Katia;Excel Básico;14/06/2016;Pessoa Física;780;11;José;Regular;Manhã;8.580,00;São Paulo;2
Vanessa;Excel Intermediário;14/06/2016;Pessoa Jurídica;980;12;Caio ;Regular;Tarde;11.760,00;São Paulo;5
Renata;Excel Avançado;14/06/2016;Pessoa Jurídica;1020;8;Caio ;Personalizado;Noite;8.160,00;São Paulo;5
Rodrigo;Excel Dashboards;14/06/2016;Pessoa Jurídica;1340;10;Fernando;Regular;Integral;13.400,00;São Paulo;4
Priscila;Excel VBA iniciante;16/06/2016;Pessoa Física;1870;11;Fernando;Regular;Madrugada;20.570,00;São Paulo;2
Mirian;Excel VBA avançado;16/06/2016;Pessoa Jurídica;1910;9;Ana;Regular;Quarta-feira;17.190,00;São Paulo;5
Murilo;Access VBA;16/06/2016;Pessoa Física;2240;8;Paulo;Personalizado;Quinta-feira;17.920,00;São Paulo;5
Roberto;Word VBA;16/06/2016;Pessoa Física;2479;12;Sandra;Regular;Personalizado;29.748,00;São Paulo;5
Myslaine;Outlook;18/06/2016;Pessoa Física;3200;11;Sandra;Regular;Manhã;35.200,00;São Paulo;4
Katia;Outlook VBA;18/06/2016;Pessoa Jurídica;3921;9;Humberto;Regular;Tarde;35.289,00;São Paulo;4
Vanessa;PowerPoint;18/06/2016;Pessoa Jurídica;780;10;Henrique;Personalizado;Noite;7.800,00;São Paulo;3
Renata;PowerPoint VBA;18/06/2016;Pessoa Jurídica;980;10;Douglas;Regular;Integral;9.800,00;São Paulo;5
Rodrigo;Access;01/06/2016;Pessoa Física;1020;12;Jane;Regular;Madrugada;12.240,00;São Paulo;2
Priscila;Windows;01/06/2016;Pessoa Jurídica;1340;8;Caio ;Regular;Sexta-feira;10.720,00;São Paulo;2
Mirian;Excel Básico;01/06/2016;Pessoa Física;1870;11;Fernando;Personalizado;Sábado;20.570,00;São Paulo;5
Murilo;Excel Intermediário;01/06/2016;Pessoa Física;1910;10;Roberto;Regular;Personalizado;19.100,00;São Paulo;2
Roberto;Excel Avançado;01/06/2016;Pessoa Física;2240;11;Rosana;Regular;Manhã;24.640,00;São Paulo;4
Myslaine;Excel Dashboards;01/06/2016;Pessoa Jurídica;2479;10;Sandra;Regular;Tarde;24.790,00;São Paulo;2
Katia;Excel VBA iniciante;02/06/2016;Pessoa Jurídica;3200;12;Sérgio;Personalizado;Noite;38.400,00;São Paulo;4
Vanessa;Excel VBA avançado;02/06/2016;Pessoa Jurídica;3921;9;Manuel;Regular;Integral;35.289,00;São Paulo;5
Renata;Access VBA;02/06/2016;Pessoa Física;780;10;Joaquim;Regular;Madrugada;7.800,00;São Paulo;2
Rodrigo;Word VBA;02/06/2016;Pessoa Jurídica;980;10;Paulo;Regular;Domingo;9.800,00;São Paulo;4
Priscila;Outlook;04/06/2016;Pessoa Física;1020;9;Leandro;Personalizado;Segunda-feira;9.180,00;São Paulo;4
Mirian;Outlook VBA;04/06/2016;Pessoa Física;1340;12;José;Regular;Personalizado;16.080,00;São Paulo;4
Murilo;PowerPoint;04/06/2016;Pessoa Física;1870;9;Caio ;Regular;Manhã;16.830,00;São Paulo;5
Roberto;PowerPoint VBA;04/06/2016;Pessoa Jurídica;1910;10;Caio ;Regular;Tarde;19.100,00;São Paulo;2
Myslaine;Access;06/06/2016;Pessoa Jurídica;2240;8;Fernando;Personalizado;Noite;17.920,00;São Paulo;4
Katia;Windows;06/06/2016;Pessoa Jurídica;2479;12;Fernando;Regular;Integral;29.748,00;São Paulo;2
Vanessa;Excel Básico;06/06/2016;Pessoa Física;3200;10;Ana;Regular;Madrugada;32.000,00;São Paulo;3
Renata;Excel Intermediário;06/06/2016;Pessoa Jurídica;3921;9;Paulo;Regular;Terça-feira;35.289,00;São Paulo;2
Rodrigo;Excel Avançado;08/06/2016;Pessoa Física;780;11;Sandra;Personalizado;Quarta-feira;8.580,00;São Paulo;2
Priscila;Excel Dashboards;08/06/2016;Pessoa Física;980;10;Sandra;Regular;Personalizado;9.800,00;São Paulo;2
Mirian;Excel VBA iniciante;08/06/2016;Pessoa Física;1020;11;Humberto;Regular;Manhã;11.220,00;São Paulo;3
Murilo;Excel VBA avançado;08/06/2016;Pessoa Jurídica;1340;8;Henrique;Regular;Tarde;10.720,00;São Paulo;5
Roberto;Access VBA;10/06/2016;Pessoa Jurídica;1870;10;Douglas;Personalizado;Noite;18.700,00;São Paulo;3
Myslaine;Word VBA;10/06/2016;Pessoa Jurídica;1910;12;Jane;Regular;Integral;22.920,00;São Paulo;5
Katia;Outlook;10/06/2016;Pessoa Física;2240;11;Caio ;Regular;Madrugada;24.640,00;São Paulo;5
Vanessa;Outlook VBA;10/06/2016;Pessoa Jurídica;2479;12;Fernando;Regular;Quinta-feira;29.748,00;São Paulo;5
Renata;PowerPoint;12/06/2016;Pessoa Física;3200;12;Roberto;Personalizado;Sexta-feira;38.400,00;São Paulo;5
Rodrigo;PowerPoint VBA;12/06/2016;Pessoa Física;3921;10;Rosana;Regular;Personalizado;39.210,00;São Paulo;2
Priscila;Access;12/06/2016;Pessoa Física;780;8;Sandra;Regular;Manhã;6.240,00;São Paulo;2
Mirian;Windows;12/06/2016;Pessoa Jurídica;980;9;Sérgio;Regular;Tarde;8.820,00;São Paulo;2
Murilo;Excel Básico;14/06/2016;Pessoa Jurídica;1020;12;Manuel;Personalizado;Noite;12.240,00;São Paulo;2
Roberto;Excel Intermediário;14/06/2016;Pessoa Jurídica;1340;11;Joaquim;Regular;Integral;14.740,00;São Paulo;5
Myslaine;Excel Avançado;14/06/2016;Pessoa Física;1870;11;Paulo;Regular;Madrugada;20.570,00;São Paulo;2
Katia;Excel Dashboards;14/06/2016;Pessoa Jurídica;1910;10;Leandro;Regular;Sábado;19.100,00;São Paulo;2
Vanessa;Excel VBA iniciante;16/06/2016;Pessoa Física;2240;8;José;Personalizado;Domingo;17.920,00;São Paulo;2
Renata;Excel VBA avançado;16/06/2016;Pessoa Física;2479;8;Caio ;Regular;Personalizado;19.832,00;São Paulo;3
Rodrigo;Access VBA;16/06/2016;Pessoa Física;3200;11;Caio ;Regular;Manhã;35.200,00;São Paulo;5
Priscila;Word VBA;16/06/2016;Pessoa Jurídica;3921;11;Fernando;Regular;Tarde;43.131,00;São Paulo;4
Mirian;Outlook;18/06/2016;Pessoa Jurídica;780;10;Fernando;Personalizado;Noite;7.800,00;São Paulo;3
Murilo;Outlook VBA;18/06/2016;Pessoa Jurídica;980;11;Ana;Regular;Integral;10.780,00;São Paulo;5
Roberto;PowerPoint;18/06/2016;Pessoa Física;1020;11;Paulo;Regular;Madrugada;11.220,00;São Paulo;5
Myslaine;PowerPoint VBA;18/06/2016;Pessoa Jurídica;1340;9;Sandra;Regular;Segunda-feira;12.060,00;São Paulo;3
Katia;Access;01/06/2016;Pessoa Física;1870;10;Sandra;Personalizado;Terça-feira;18.700,00;São Paulo;4
Vanessa;Windows;01/06/2016;Pessoa Física;1910;8;Humberto;Regular;Personalizado;15.280,00;São Paulo;5
Renata;Excel Básico;01/06/2016;Pessoa Física;2240;10;Henrique;Regular;Manhã;22.400,00;São Paulo;5
Rodrigo;Excel Intermediário;01/06/2016;Pessoa Jurídica;2479;12;Douglas;Regular;Tarde;29.748,00;São Paulo;2
Priscila;Excel Avançado;01/06/2016;Pessoa Jurídica;3200;9;Jane;Personalizado;Noite;28.800,00;São Paulo;5
Mirian;Excel Dashboards;01/06/2016;Pessoa Jurídica;3921;11;Caio ;Regular;Integral;43.131,00;São Paulo;3
Murilo;Excel VBA iniciante;02/06/2016;Pessoa Física;780;10;Fernando;Regular;Madrugada;7.800,00;São Paulo;4
Roberto;Excel VBA avançado;02/06/2016;Pessoa Jurídica;980;8;Roberto;Regular;Quarta-feira;7.840,00;São Paulo;3
Myslaine;Access VBA;02/06/2016;Pessoa Física;1020;8;Rosana;Personalizado;Quinta-feira;8.160,00;São Paulo;2
Katia;Word VBA;02/06/2016;Pessoa Física;1340;12;Sandra;Regular;Personalizado;16.080,00;São Paulo;2
Vanessa;Outlook;04/06/2016;Pessoa Física;1870;10;Sérgio;Regular;Manhã;18.700,00;São Paulo;5
Renata;Outlook VBA;04/06/2016;Pessoa Jurídica;1910;9;Manuel;Regular;Tarde;17.190,00;São Paulo;5
Rodrigo;PowerPoint;04/06/2016;Pessoa Jurídica;2240;9;Joaquim;Personalizado;Noite;20.160,00;São Paulo;2
Priscila;PowerPoint VBA;04/06/2016;Pessoa Jurídica;2479;8;Paulo;Regular;Integral;19.832,00;São Paulo;4
Mirian;Access;06/06/2016;Pessoa Física;3200;10;Leandro;Regular;Madrugada;32.000,00;São Paulo;5
Murilo;Windows;06/06/2016;Pessoa Jurídica;3921;9;José;Regular;Sexta-feira;35.289,00;São Paulo;2
Roberto;Excel Básico;06/06/2016;Pessoa Física;780;11;Caio ;Personalizado;Sábado;8.580,00;São Paulo;5
Myslaine;Excel Intermediário;06/06/2016;Pessoa Física;980;9;Caio ;Regular;Personalizado;8.820,00;São Paulo;3
Katia;Excel Avançado;08/06/2016;Pessoa Física;1020;10;Fernando;Regular;Manhã;10.200,00;São Paulo;3
Vanessa;Excel Dashboards;08/06/2016;Pessoa Jurídica;1340;11;Fernando;Regular;Tarde;14.740,00;São Paulo;4
Renata;Excel VBA iniciante;08/06/2016;Pessoa Jurídica;1870;8;Ana;Personalizado;Noite;14.960,00;São Paulo;4
Rodrigo;Excel VBA avançado;08/06/2016;Pessoa Jurídica;1910;10;Paulo;Regular;Integral;19.100,00;São Paulo;2
Priscila;Access VBA;10/06/2016;Pessoa Física;2240;11;Sandra;Regular;Madrugada;24.640,00;São Paulo;4
Mirian;Word VBA;10/06/2016;Pessoa Jurídica;2479;11;Sandra;Regular;Domingo;27.269,00;São Paulo;3
Murilo;Outlook;10/06/2016;Pessoa Física;3200;12;Humberto;Personalizado;Segunda-feira;38.400,00;São Paulo;4
Roberto;Outlook VBA;10/06/2016;Pessoa Física;3921;8;Henrique;Regular;Personalizado;31.368,00;São Paulo;4
Myslaine;PowerPoint;12/06/2016;Pessoa Física;780;8;Douglas;Regular;Manhã;6.240,00;São Paulo;3
Katia;PowerPoint VBA;12/06/2016;Pessoa Jurídica;980;8;Jane;Regular;Tarde;7.840,00;São Paulo;2
Vanessa;Access;12/06/2016;Pessoa Jurídica;1020;10;Caio ;Personalizado;Noite;10.200,00;São Paulo;3
Renata;Windows;12/06/2016;Pessoa Jurídica;1340;10;Fernando;Regular;Integral;13.400,00;São Paulo;5
Rodrigo;Excel Básico;14/06/2016;Pessoa Física;1870;9;Roberto;Regular;Madrugada;16.830,00;São Paulo;4
Priscila;Excel Intermediário;14/06/2016;Pessoa Jurídica;1910;11;Rosana;Regular;Terça-feira;21.010,00;São Paulo;4
Mirian;Excel Avançado;14/06/2016;Pessoa Física;2240;8;Sandra;Personalizado;Quarta-feira;17.920,00;São Paulo;3
Murilo;Excel Dashboards;14/06/2016;Pessoa Física;2479;9;Sérgio;Regular;Personalizado;22.311,00;São Paulo;2
Roberto;Excel VBA iniciante;16/06/2016;Pessoa Física;3200;10;Manuel;Regular;Manhã;32.000,00;São Paulo;3
Myslaine;Excel VBA avançado;16/06/2016;Pessoa Jurídica;3921;11;Joaquim;Regular;Tarde;43.131,00;São Paulo;2
Katia;Access VBA;16/06/2016;Pessoa Jurídica;780;8;Paulo;Personalizado;Noite;6.240,00;São Paulo;2
Vanessa;Word VBA;16/06/2016;Pessoa Jurídica;980;12;Leandro;Regular;Integral;11.760,00;São Paulo;2
Renata;Outlook;18/06/2016;Pessoa Física;1020;10;José;Regular;Madrugada;10.200,00;São Paulo;2
Rodrigo;Outlook VBA;18/06/2016;Pessoa Jurídica;1340;10;Caio ;Regular;Quinta-feira;13.400,00;São Paulo;4
Priscila;PowerPoint;18/06/2016;Pessoa Física;1870;8;Caio ;Personalizado;Sexta-feira;14.960,00;São Paulo;5
Mirian;PowerPoint VBA;18/06/2016;Pessoa Física;1910;10;Fernando;Regular;Personalizado;19.100,00;São Paulo;4
Murilo;Access;01/06/2016;Pessoa Física;2240;9;Fernando;Regular;Manhã;20.160,00;São Paulo;2
Roberto;Windows;01/06/2016;Pessoa Jurídica;2479;11;Ana;Regular;Tarde;27.269,00;São Paulo;3
Myslaine;Excel Básico;01/06/2016;Pessoa Jurídica;3200;11;Paulo;Personalizado;Noite;35.200,00;São Paulo;2
Katia;Excel Intermediário;01/06/2016;Pessoa Jurídica;3921;12;Sandra;Regular;Integral;47.052,00;São Paulo;2
Vanessa;Excel Avançado;01/06/2016;Pessoa Física;780;10;Sandra;Regular;Madrugada;7.800,00;São Paulo;2
Renata;Excel Dashboards;01/06/2016;Pessoa Jurídica;980;11;Humberto;Regular;Sábado;10.780,00;São Paulo;3
Rodrigo;Excel VBA iniciante;02/06/2016;Pessoa Física;1020;11;Henrique;Personalizado;Domingo;11.220,00;São Paulo;4
Priscila;Excel VBA avançado;02/06/2016;Pessoa Física;1340;12;Douglas;Regular;Personalizado;16.080,00;São Paulo;4
Mirian;Access VBA;02/06/2016;Pessoa Física;1870;9;Jane;Regular;Manhã;16.830,00;São Paulo;2
Murilo;Word VBA;02/06/2016;Pessoa Jurídica;1910;9;Caio ;Regular;Tarde;17.190,00;São Paulo;2
Roberto;Outlook;04/06/2016;Pessoa Jurídica;2240;11;Fernando;Personalizado;Noite;24.640,00;São Paulo;2
Myslaine;Outlook VBA;04/06/2016;Pessoa Jurídica;2479;10;Roberto;Regular;Integral;24.790,00;São Paulo;4
Katia;PowerPoint;04/06/2016;Pessoa Física;3200;8;Rosana;Regular;Madrugada;25.600,00;São Paulo;2
Vanessa;PowerPoint VBA;04/06/2016;Pessoa Jurídica;3921;10;Sandra;Regular;Segunda-feira;39.210,00;São Paulo;5
Renata;Access;06/06/2016;Pessoa Física;780;10;Sérgio;Personalizado;Terça-feira;7.800,00;São Paulo;3
Rodrigo;Windows;06/06/2016;Pessoa Física;980;10;Manuel;Regular;Personalizado;9.800,00;São Paulo;2
Priscila;Excel Básico;06/06/2016;Pessoa Física;1020;12;Joaquim;Regular;Manhã;12.240,00;São Paulo;2
Mirian;Excel Intermediário;06/06/2016;Pessoa Jurídica;1340;8;Paulo;Regular;Tarde;10.720,00;São Paulo;3
Murilo;Excel Avançado;08/06/2016;Pessoa Jurídica;1870;11;Leandro;Personalizado;Noite;20.570,00;São Paulo;2
Roberto;Excel Dashboards;08/06/2016;Pessoa Jurídica;1910;10;José;Regular;Integral;19.100,00;São Paulo;4
Myslaine;Excel VBA iniciante;08/06/2016;Pessoa Física;2240;10;Caio ;Regular;Madrugada;22.400,00;São Paulo;3
Katia;Excel VBA avançado;08/06/2016;Pessoa Jurídica;2479;11;Caio ;Regular;Quarta-feira;27.269,00;São Paulo;5
Vanessa;Access VBA;10/06/2016;Pessoa Física;3200;10;Fernando;Personalizado;Quinta-feira;32.000,00;São Paulo;3
Renata;Word VBA;10/06/2016;Pessoa Física;3921;10;Fernando;Regular;Personalizado;39.210,00;São Paulo;4
Rodrigo;Outlook;10/06/2016;Pessoa Física;780;11;Ana;Regular;Manhã;8.580,00;São Paulo;2
Priscila;Outlook VBA;10/06/2016;Pessoa Jurídica;980;11;Paulo;Regular;Tarde;10.780,00;São Paulo;4
Mirian;PowerPoint;12/06/2016;Pessoa Jurídica;1020;12;Sandra;Personalizado;Noite;12.240,00;São Paulo;2
Murilo;PowerPoint VBA;12/06/2016;Pessoa Jurídica;1340;8;Sandra;Regular;Integral;10.720,00;São Paulo;3
Roberto;Access;12/06/2016;Pessoa Física;1870;9;Humberto;Regular;Madrugada;16.830,00;São Paulo;4
Myslaine;Windows;12/06/2016;Pessoa Jurídica;1910;10;Henrique;Regular;Sexta-feira;19.100,00;São Paulo;5
Katia;Excel Básico;14/06/2016;Pessoa Física;2240;11;Douglas;Personalizado;Sábado;24.640,00;São Paulo;4
Vanessa;Excel Intermediário;14/06/2016;Pessoa Física;2479;8;Jane;Regular;Personalizado;19.832,00;São Paulo;2
Renata;Excel Avançado;14/06/2016;Pessoa Física;3200;12;Caio ;Regular;Manhã;38.400,00;São Paulo;5
Rodrigo;Excel Dashboards;14/06/2016;Pessoa Jurídica;3921;9;Fernando;Regular;Tarde;35.289,00;São Paulo;5
Priscila;Excel VBA iniciante;16/06/2016;Pessoa Jurídica;780;8;Roberto;Personalizado;Noite;6.240,00;São Paulo;3
Mirian;Excel VBA avançado;16/06/2016;Pessoa Jurídica;980;12;Rosana;Regular;Integral;11.760,00;São Paulo;5
Murilo;Access VBA;16/06/2016;Pessoa Física;1020;9;Sandra;Regular;Madrugada;9.180,00;São Paulo;3
Roberto;Word VBA;16/06/2016;Pessoa Jurídica;1340;12;Sérgio;Regular;Domingo;16.080,00;São Paulo;5
Myslaine;Outlook;18/06/2016;Pessoa Física;1870;11;Manuel;Personalizado;Segunda-feira;20.570,00;São Paulo;5
Katia;Outlook VBA;18/06/2016;Pessoa Física;1910;11;Joaquim;Regular;Personalizado;21.010,00;São Paulo;3
Vanessa;PowerPoint;18/06/2016;Pessoa Física;2240;9;Paulo;Regular;Manhã;20.160,00;São Paulo;2
Renata;PowerPoint VBA;18/06/2016;Pessoa Jurídica;2479;8;Leandro;Regular;Tarde;19.832,00;São Paulo;5
Rodrigo;Access;01/06/2016;Pessoa Jurídica;3200;8;José;Personalizado;Noite;25.600,00;São Paulo;2
Priscila;Windows;01/06/2016;Pessoa Jurídica;3921;10;Caio ;Regular;Integral;39.210,00;São Paulo;2
Mirian;Excel Básico;01/06/2016;Pessoa Física;780;8;Caio ;Regular;Madrugada;6.240,00;São Paulo;3
Murilo;Excel Intermediário;01/06/2016;Pessoa Jurídica;980;9;Fernando;Regular;Terça-feira;8.820,00;São Paulo;3
Roberto;Excel Avançado;01/06/2016;Pessoa Física;1020;9;Fernando;Personalizado;Quarta-feira;9.180,00;São Paulo;2
Myslaine;Excel Dashboards;01/06/2016;Pessoa Física;1340;11;Ana;Regular;Personalizado;14.740,00;São Paulo;5
Katia;Excel VBA iniciante;02/06/2016;Pessoa Física;1870;11;Paulo;Regular;Manhã;20.570,00;São Paulo;2
Vanessa;Excel VBA avançado;02/06/2016;Pessoa Jurídica;1910;9;Sandra;Regular;Tarde;17.190,00;São Paulo;5
Renata;Access VBA;02/06/2016;Pessoa Jurídica;2240;8;Sandra;Personalizado;Noite;17.920,00;São Paulo;3
Rodrigo;Word VBA;02/06/2016;Pessoa Jurídica;2479;8;Humberto;Regular;Integral;19.832,00;São Paulo;2
Priscila;Outlook;04/06/2016;Pessoa Física;3200;12;Henrique;Regular;Madrugada;38.400,00;São Paulo;4
Mirian;Outlook VBA;04/06/2016;Pessoa Jurídica;3921;11;Douglas;Regular;Quinta-feira;43.131,00;São Paulo;3
Murilo;PowerPoint;04/06/2016;Pessoa Física;780;10;Jane;Personalizado;Sexta-feira;7.800,00;São Paulo;2
Roberto;PowerPoint VBA;04/06/2016;Pessoa Física;980;9;Caio ;Regular;Personalizado;8.820,00;São Paulo;3
Myslaine;Access;06/06/2016;Pessoa Física;1020;8;Fernando;Regular;Manhã;8.160,00;São Paulo;4
Katia;Windows;06/06/2016;Pessoa Jurídica;1340;10;Roberto;Regular;Tarde;13.400,00;São Paulo;2
Vanessa;Excel Básico;06/06/2016;Pessoa Jurídica;1870;9;Rosana;Personalizado;Noite;16.830,00;São Paulo;5
Renata;Excel Intermediário;06/06/2016;Pessoa Jurídica;1910;10;Sandra;Regular;Integral;19.100,00;São Paulo;4
Rodrigo;Excel Avançado;08/06/2016;Pessoa Física;2240;9;Sérgio;Regular;Madrugada;20.160,00;São Paulo;4
Priscila;Excel Dashboards;08/06/2016;Pessoa Jurídica;2479;8;Manuel;Regular;Sábado;19.832,00;São Paulo;5
Mirian;Excel VBA iniciante;08/06/2016;Pessoa Física;3200;11;Joaquim;Personalizado;Domingo;35.200,00;São Paulo;4
Murilo;Excel VBA avançado;08/06/2016;Pessoa Física;3921;8;Paulo;Regular;Personalizado;31.368,00;São Paulo;4
Roberto;Access VBA;10/06/2016;Pessoa Física;780;10;Leandro;Regular;Manhã;7.800,00;São Paulo;3
Myslaine;Word VBA;10/06/2016;Pessoa Jurídica;980;8;José;Regular;Tarde;7.840,00;São Paulo;3
Katia;Outlook;10/06/2016;Pessoa Jurídica;1020;8;Caio ;Personalizado;Noite;8.160,00;São Paulo;4
Vanessa;Outlook VBA;10/06/2016;Pessoa Jurídica;1340;9;Caio ;Regular;Integral;12.060,00;São Paulo;2
Renata;PowerPoint;12/06/2016;Pessoa Física;1870;8;Fernando;Regular;Madrugada;14.960,00;São Paulo;5
Rodrigo;PowerPoint VBA;12/06/2016;Pessoa Jurídica;1910;11;Fernando;Regular;Segunda-feira;21.010,00;São Paulo;3
Priscila;Access;12/06/2016;Pessoa Física;2240;10;Ana;Personalizado;Terça-feira;22.400,00;São Paulo;4
Mirian;Windows;12/06/2016;Pessoa Física;2479;12;Paulo;Regular;Personalizado;29.748,00;São Paulo;4
Murilo;Excel Básico;14/06/2016;Pessoa Física;3200;9;Sandra;Regular;Manhã;28.800,00;São Paulo;4
Roberto;Excel Intermediário;14/06/2016;Pessoa Jurídica;3921;9;Sandra;Regular;Tarde;35.289,00;São Paulo;2
Myslaine;Excel Avançado;14/06/2016;Pessoa Jurídica;780;12;Humberto;Personalizado;Noite;9.360,00;São Paulo;5
Katia;Excel Dashboards;14/06/2016;Pessoa Jurídica;980;8;Henrique;Regular;Integral;7.840,00;São Paulo;4
Vanessa;Excel VBA iniciante;16/06/2016;Pessoa Física;1020;8;Douglas;Regular;Madrugada;8.160,00;São Paulo;2
Renata;Excel VBA avançado;16/06/2016;Pessoa Jurídica;1340;11;Jane;Regular;Quarta-feira;14.740,00;São Paulo;2
Rodrigo;Access VBA;16/06/2016;Pessoa Física;1870;11;Caio ;Personalizado;Quinta-feira;20.570,00;São Paulo;5
Priscila;Word VBA;16/06/2016;Pessoa Física;1910;8;Fernando;Regular;Personalizado;15.280,00;São Paulo;2
Mirian;Outlook;18/06/2016;Pessoa Física;2240;11;Roberto;Regular;Manhã;24.640,00;São Paulo;4
Murilo;Outlook VBA;18/06/2016;Pessoa Jurídica;2479;8;Rosana;Regular;Tarde;19.832,00;São Paulo;3
Roberto;PowerPoint;18/06/2016;Pessoa Jurídica;3200;10;Sandra;Personalizado;Noite;32.000,00;São Paulo;4
Myslaine;PowerPoint VBA;18/06/2016;Pessoa Jurídica;3921;11;Sérgio;Regular;Integral;43.131,00;São Paulo;2
Katia;Access;01/06/2016;Pessoa Física;780;11;Manuel;Regular;Madrugada;8.580,00;São Paulo;2
Vanessa;Windows;01/06/2016;Pessoa Jurídica;980;12;Joaquim;Regular;Sexta-feira;11.760,00;São Paulo;2
Renata;Excel Básico;01/06/2016;Pessoa Física;1020;10;Paulo;Personalizado;Sábado;10.200,00;São Paulo;3
Rodrigo;Excel Intermediário;01/06/2016;Pessoa Física;1340;12;Leandro;Regular;Personalizado;16.080,00;São Paulo;4
Priscila;Excel Avançado;01/06/2016;Pessoa Física;1870;10;José;Regular;Manhã;18.700,00;São Paulo;5
Mirian;Excel Dashboards;01/06/2016;Pessoa Jurídica;1910;9;Caio ;Regular;Tarde;17.190,00;São Paulo;3
Murilo;Excel VBA iniciante;02/06/2016;Pessoa Jurídica;2240;8;Caio ;Personalizado;Noite;17.920,00;São Paulo;3
Roberto;Excel VBA avançado;02/06/2016;Pessoa Jurídica;2479;9;Fernando;Regular;Integral;22.311,00;São Paulo;4
Myslaine;Access VBA;02/06/2016;Pessoa Física;3200;9;Fernando;Regular;Madrugada;28.800,00;São Paulo;4
Katia;Word VBA;02/06/2016;Pessoa Jurídica;3921;12;Ana;Regular;Domingo;47.052,00;São Paulo;5
Vanessa;Outlook;04/06/2016;Pessoa Física;780;12;Paulo;Personalizado;Segunda-feira;9.360,00;São Paulo;2
Renata;Outlook VBA;04/06/2016;Pessoa Física;980;9;Sandra;Regular;Personalizado;8.820,00;São Paulo;5
Rodrigo;PowerPoint;04/06/2016;Pessoa Física;1020;12;Sandra;Regular;Manhã;12.240,00;São Paulo;3
Priscila;PowerPoint VBA;04/06/2016;Pessoa Jurídica;1340;11;Humberto;Regular;Tarde;14.740,00;São Paulo;3
Mirian;Access;06/06/2016;Pessoa Jurídica;1870;11;Henrique;Personalizado;Noite;20.570,00;São Paulo;5
Murilo;Windows;06/06/2016;Pessoa Jurídica;1910;10;Douglas;Regular;Integral;19.100,00;São Paulo;2
Roberto;Excel Básico;06/06/2016;Pessoa Física;2240;8;Jane;Regular;Madrugada;17.920,00;São Paulo;4
Myslaine;Excel Intermediário;06/06/2016;Pessoa Jurídica;2479;9;Caio ;Regular;Terça-feira;22.311,00;São Paulo;3
Katia;Excel Avançado;08/06/2016;Pessoa Física;3200;8;Fernando;Personalizado;Quarta-feira;25.600,00;São Paulo;3
Vanessa;Excel Dashboards;08/06/2016;Pessoa Física;3921;11;Roberto;Regular;Personalizado;43.131,00;São Paulo;3
Renata;Excel VBA iniciante;08/06/2016;Pessoa Física;780;12;Rosana;Regular;Manhã;9.360,00;São Paulo;3
Rodrigo;Excel VBA avançado;08/06/2016;Pessoa Jurídica;980;10;Sandra;Regular;Tarde;9.800,00;São Paulo;4
